!=,Action Name,Default KeyBinding,Custom KeyBinding,Plugin Name
 ,View Program Differences,2,2,ProgramDiffPlugin
📕,Define string,,A,Tool
 ,Expand All,Alt-DOWN,Alt-DOWN,DataTypeManagerPlugin
 ,Add To Program,Alt-I,Alt-I,ImporterPlugin
📕,Add Bookmark,Meta-D,Alt-M,BookmarkPlugin
 ,Create Default Reference,Alt-R,Alt-R,ReferencesPlugin
 ,Next in History Buffer,Alt-RIGHT,Alt-RIGHT,NextPrevAddressPlugin
 ,Collapse All,Alt-UP,Alt-UP,DataTypeManagerPlugin
 ,Clear Function Return Type,C,C,FunctionPlugin
 ,Clear Parameter Data Type,C,C,FunctionPlugin
 ,Clear Variable Data Type,C,C,FunctionPlugin
📕,Disassemble,D,C,DisassemblerPlugin
📕,Edit Stack Frame,,Ctrl-K,StackEditorManagerPlugin
📕,"Cycle: byte,word,dword,qword",B,D,Tool
 ,Delete,DELETE,DELETE,DataTypePreviewPlugin
 ,Delete,DELETE,DELETE,DataTypeManagerPlugin
 ,Delete Archive,DELETE,DELETE,DataTypeManagerPlugin
 ,Delete Bookmarks,DELETE,DELETE,BookmarkPlugin
 ,Delete Comments,DELETE,DELETE,CommentsPlugin
 ,Delete folder/fragment,DELETE,DELETE,ProgramTreePlugin
 ,Delete Function,DELETE,DELETE,FunctionPlugin
 ,Delete Function Variable,DELETE,DELETE,FunctionPlugin
 ,Delete References From,DELETE,DELETE,ReferencesPlugin
 ,Delete Register Value Range,DELETE,DELETE,RegisterPlugin
 ,Delete Symbols,DELETE,DELETE,SymbolTablePlugin
 ,Delete Symbols,DELETE,DELETE,SymbolTreePlugin
 ,Remove Equate,DELETE,DELETE,EquatePlugin
 ,Remove Items,DELETE,DELETE,Tool
 ,Remove Label,DELETE,DELETE,LabelMgrPlugin
 ,Remove Stack Depth Change,DELETE,DELETE,FunctionPlugin
 ,Rename Equate,E,E,EquatePlugin
 ,Set Equate,E,E,EquatePlugin
📕,Previous in History Buffer,Alt-LEFT,ESCAPE,NextPrevAddressPlugin
 ,Create External Function,F,F,FunctionPlugin
 ,Create Function,F,F,FunctionPlugin
 ,"Cycle: float,double",F,F,Tool
 ,Edit Function,F,F,FunctionPlugin
 ,Disassemble Arm,F11,F11,DisassemblerPlugin
 ,Disassemble MIPS,F11,F11,DisassemblerPlugin
 ,Disassemble PPC,F11,F11,DisassemblerPlugin
 ,Disassemble MIPS16/Micromips,F12,F12,DisassemblerPlugin
 ,Disassemble PPC-VLE,F12,F12,DisassemblerPlugin
 ,Disassemble Thumb,F12,F12,DisassemblerPlugin
 ,Repeat Memory Search,F3,F3,MemSearchPlugin
 ,Source Code Lookup,F3,F3,SourceCodeLookupPlugin
📕,Display Decompiler,Meta-E,F5,DecompilePlugin
 ,Go To Address/Label,G,G,GoToAddressLabelPlugin
 ,Show All History,H,H,LabelMgrPlugin
 ,Show Label History,H,H,LabelMgrPlugin
 ,Import File,I,I,ImporterPlugin
 ,Edit External Location,L,L,LabelMgrPlugin
 ,Add Default Memory Reference,M,M,ReferencesPlugin
 ,Set Default Register Reference,M,M,ReferencesPlugin
 ,Set Default Stack Reference,M,M,ReferencesPlugin
 ,Next Highlighted Range,Meta-0,Meta-0,NextPrevHighlightRangePlugin
 ,Previous Highlighted Range,Meta-9,Meta-9,NextPrevHighlightRangePlugin
 ,Select All,Meta-A,Meta-A,CodeBrowserPlugin
 ,Select All Code Units,Meta-A,Meta-A,FunctionGraphPlugin
 ,Next Bookmark,Meta-Alt-B,Meta-Alt-B,NextPrevCodeUnitPlugin
 ,Open/Close Program View,Meta-Alt-C,Meta-Alt-C,ProgramDiffPlugin
 ,Next Data,Meta-Alt-D,Meta-Alt-D,NextPrevCodeUnitPlugin
 ,Enable/Disable Byteviewer Editing,Meta-Alt-E,Meta-Alt-E,ByteViewerPlugin
 ,Next Function,Meta-Alt-F,Meta-Alt-F,NextPrevCodeUnitPlugin
 ,Extract and Import,Meta-Alt-I,Meta-Alt-I,ImporterPlugin
 ,Next Instruction,Meta-Alt-I,Meta-Alt-I,NextPrevCodeUnitPlugin
 ,Next Label,Meta-Alt-L,Meta-Alt-L,NextPrevCodeUnitPlugin
 ,Set Operand Label,Meta-Alt-L,Meta-Alt-L,LabelMgrPlugin
 ,Next Non-Function,Meta-Alt-N,Meta-Alt-N,NextPrevCodeUnitPlugin
 ,Toggle Code Unit Search Direction,Meta-Alt-T,Meta-Alt-T,NextPrevCodeUnitPlugin
 ,Next Undefined,Meta-Alt-U,Meta-Alt-U,NextPrevCodeUnitPlugin
 ,Next Different Byte Value,Meta-Alt-V,Meta-Alt-V,NextPrevCodeUnitPlugin
 ,Previous Selected Range,Meta-BRACELEFT,Meta-BRACELEFT,NextPrevSelectedRangePlugin
 ,Next Selected Range,Meta-BRACERIGHT,Meta-BRACERIGHT,NextPrevSelectedRangePlugin
 ,Copy,Meta-C,Meta-C,DataTypeManagerPlugin
 ,Copy,Meta-C,Meta-C,ClipboardPlugin
 ,Go to next function,Meta-DOWN,Meta-DOWN,CodeBrowserPlugin
